======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0798 -   0.00 | 0.9285
0799 -   0.00 | 0.8123
0800 -   0.00 | 0.8267
0801 -  17.56 | 0.8307
0802 -  81.10 | 0.9915
0803 -  40.87 | 0.5167
0804 -   0.00 | 0.8216
0805 -  14.98 | 0.8756
0806 -  98.31 | 0.9786
0807 -   0.00 | 0.9052
0808 -  33.69 | 0.9600
0809 -  32.32 | 0.9733
0810 -  98.41 | 0.9119
0811 -  16.94 | 0.9524
0812 -  20.63 | 0.8110
0813 -  98.68 | 0.9150
0814 -  12.92 | 0.9532
0815 -  65.72 | 0.9737
0816 -   0.00 | 0.8194
0817 -  39.29 | 0.8271
0818 -  63.60 | 0.8185
0819 -  30.11 | 0.9468
0820 -  25.06 | 0.9475
0821 -  98.83 | 0.9591
0822 -   0.00 | 0.9017
0823 -  17.84 | 0.8855
0824 -   5.50 | 0.8908
0825 -  46.51 | 0.9713
0826 -  51.72 | 0.9917
0827 -   4.07 | 0.9662
0828 -   0.00 | 0.8249
0829 -  20.85 | 0.7868
0830 -  74.31 | 0.9534
0831 -  69.78 | 0.9095
0832 -  97.63 | 0.8959
0833 -  49.19 | 0.9522
0834 -  68.31 | 0.9821
0835 -  30.35 | 0.9502
0836 -   0.00 | 0.8466
0837 -  41.33 | 0.9406
0838 -  35.29 | 0.9837
0839 -  66.69 | 0.9234
0840 -   0.00 | 0.8009
0841 -   5.37 | 0.9844
0842 -   0.00 | 0.9381
0843 -   0.00 | 0.9195
0844 -   0.00 | 0.9466
0845 -  65.20 | 0.9728
0846 -  13.46 | 0.9604
0847 -  74.11 | 0.8682
0848 -  58.47 | 0.9803
0849 -  60.25 | 0.9158
0850 -  69.01 | 0.8251
0851 -  98.68 | 0.9168
0852 -  93.41 | 0.9486
0853 -  81.81 | 0.9342
0854 -   0.00 | 0.8980
0855 -  36.60 | 0.9641
0856 -  50.56 | 0.9211
0857 -  10.34 | 0.9717
0858 -  61.04 | 0.9802
0859 -  14.65 | 0.8268
0860 -  50.26 | 0.8391
0861 -  73.98 | 0.8467
